Retail,year,Employee,Store,Operating expense,Inventories,Net Sales,Cost of sales
Walmart,2020,"2,200,000","11,501","131,858,769,105","53,856,885,268","630,169,797,000","478,276,048,409"
Walmart,2021,"2,300,000","11,443","134,621,104,572","52,035,326,340","642,766,921,393","486,578,749,039"
Walmart,2022,"2,300,000","10,593","126,279,473,633","60,572,601,555","608,568,622,115","459,833,414,155"
Walmart,2023,"2,100,000","10,623","130,890,026,345","58,244,723,380","623,751,612,806","477,398,567,775"
Walmart,2024,"2,100,000","10,616","130,971,000,000","54,892,000,000","642,637,000,000","490,142,000,000"
Costco,2020,"273,000",795,"19,794,996,066","14,837,762,787","197,828,756,912","175,671,499,805"
Costco,2021,"288,000",815,"21,371,424,494","16,456,031,590","222,329,495,522","197,592,774,945"
Costco,2022,"304,000",838,"21,200,571,325","19,194,025,518","238,738,219,894","213,712,134,688"
Costco,2023,"316,000",861,"22,226,802,492","17,142,125,442","244,721,316,364","218,856,277,652"
Costco,2024,"333,000",890,"22,810,000,000","18,647,000,000","249,625,000,000","222,358,000,000"
Target,2020,"409,000","1,897","22,562,077,625","12,911,835,237","111,992,262,827","80,209,004,081"
Target,2021,"450,000","1,926","22,865,953,989","16,093,686,328","121,103,195,260","86,781,111,224"
Target,2022,"440,000","1,948","22,060,213,279","14,469,210,391","116,962,755,600","88,221,559,407"
Target,2023,"415,000","1,956","22,095,027,099","12,236,580,566","110,580,144,013","80,123,556,476"
Target,2024,"440,000","1,978","21,969,000,000","12,740,000,000","106,566,000,000","76,502,000,000"
Kroger,2020,"465,000","2,742","29,694,918,174","10,224,748,152","160,592,541,560","123,139,371,499"
Kroger,2021,"420,000","2,726","26,861,013,083","9,669,872,098","159,626,400,551","124,492,802,048"
Kroger,2022,"430,000","2,719","25,562,021,587","10,457,190,649","158,913,711,692","124,851,739,116"
Kroger,2023,"414,000","2,722","27,026,309,357","9,691,668,303","154,464,438,122","120,116,358,533"
Kroger,2024,"409,000","2,731","25,431,000,000","9,442,000,000","147,123,000,000","113,720,000,000"
Loblaw,2020,"200,000","2,439","11,677,591,386","4,452,810,279","45,182,953,046","31,478,240,138"
Loblaw,2021,"210,000","2,441","11,437,548,666","4,282,552,469","44,077,296,701","30,205,010,017"
Loblaw,2022,"221,000","2,444","11,358,701,800","4,544,567,380","43,857,597,820","29,904,883,350"
